name,for_human,for_dog,weight_g,comment
Dry Bag,1,1,7.1,
Skin closures,5,,1.3,
"Fabric shaped plasters (knuckles, fingers, etc.)",2,,1.15,
Fabric rectangular plasters,,,0.9,
"Sterile Dressings, 5 x 5 cm",2,2,2.5,
"Conforming Gauze Bandage, 2""",,,7.1,
Fabric tape,1,,20.7,
Antiseptic Wipe,4,4,3.2,
Triple Antibiotic Ointment,2,2,1.3,
Ibuprofen (200 mg.),10,,0.74,
Paracetemol,8,2,0.6,
Antihistamine (loratadine 10mg),14,2,0.26,
Blister plasters,10,,3,
Splinter tweezers,,,6.9,
Safety Pin,,,0.4,
Tick remover,1,1,1.8,
"Sterile Non-Adherent Dressing, 7.5 x 7.5 cm",,,3,
"Irrigation Syringe, 10cc. with 18 Gauge Tip",,,7.3,
Saline Wound & Eye Wash,,,114.4,
"Elastic Bandage Self Adhering, 2""",,1,17.8,
Triangular Bandage (See Instructions For use As Muzzle,,,21.4,
"Hydrogen Peroxide 3%, 1 oz. (To Induce Vomiting)",,1,32,
Imodium,4,,1.45,
