name,category,number,weight_g,cost_gbp,comment,current,season,overnight,long_trek,car_camp,on_body,archived
Backpack 48 l,Basics,1,1330,£160.00,,https://ultralightoutdoorgear.co.uk/2022-exos-48-rucksack/,,TRUE,TRUE,TRUE,,
Raincover,Basics,1,80,£35.00,,,,,TRUE,,,
Tent (1.65 m^2) w/ footprint,Basics,1,1778,£570.00,,https://web.archive.org/web/20191016125700/https://nordisk.co.uk/halland-2-lw/burnt-red/p/74,,TRUE,TRUE,TRUE,,
Tent (4.4 m^2),Basics,,2520,£50.00,,Four person tent,,,,,,TRUE
Tarpaulin,Basics,1,,,,,,,,TRUE,,TRUE
Repair kit,Basics,1,40,,,,,TRUE,TRUE,TRUE,,
Sleeping bag,Basics,0,1050,£265.00,,Berghaus Elevation 400 Sleeping Bag,,,,,,TRUE
Thermal sleeping bag liner,Basics,0,278,£50.00,,https://www.seatosummit.co.uk/products/sleep/sleeping-bag-liners/thermolite-reactor/,Winter,TRUE,TRUE,TRUE,,
Silk sleeping bag liner,Basics,1,116,£30.00,,https://www.eurohike.co.uk/100123/100123-eurohike-silk-mummy-liner,Summer,TRUE,TRUE,TRUE,,
Sleeping bag compression sack,Basics,0,115.1,£25.00,,https://www.seatosummit.co.uk/products/storage/compression-sacks/event-compression-dry-sack/,,,,,,TRUE
Quilt,Basics,1,576,£335.00,,https://cascadedesigns.com/products/vesper-20f-6c-down-quilt,,TRUE,TRUE,TRUE,,
Quilt compression sack,Basics,1,50,£25.00,,https://www.seatosummit.co.uk/products/storage-sacks/ultra-sil-event-compression-dry-sack/,,TRUE,TRUE,TRUE,,
"Sleeping mat, mummy, large",Basics,1,456,£234.00,,https://web.archive.org/web/20220927092908/https://www.thermarest.com/ie/sleeping-pads/fast-and-light/neoair-xtherm-sleeping-pad/neoair-xtherm.html,,TRUE,TRUE,TRUE,,
"Sleeping mat, mummy, short",Basics,0,170,£165.00,,https://www.thermarest.com/ie/sleeping-pads/fast-and-light/neoair-uberlite-sleeping-pad/neoair-uberlite.html,,,,,,TRUE
"Sleeping mat, rectangular",Basics,0,2500,£80.00,,https://www.vango.co.uk/comfort-75-single,,,,,,TRUE
Footprint,Basics,0,158,£14.00,,https://web.archive.org/web/20240425020504/https://www.treadlitegear.co.uk/ripstop-aluminium-camping-groundsheet-footprint-for-exped--neoair-88-p.asp,,,,,,TRUE
Chair,Miscellaneous,1,1168,,,Helinox Sunset with custom seat cover and base,,,,TRUE,,
Reservoir,Kitchen,1,180,£41.55,,https://www.platy.com/ie/reservoirs/big-zip-evo/big-zip-evo.html,,TRUE,TRUE,TRUE,,
Water filter,Kitchen,1,68,£40.00,,https://www.platy.com/filtration/quickdraw-1l-filter-system/13903.html,,,TRUE,,,
1l bladder for dirty water,Kitchen,1,40,£8.00,,https://www.platy.com/bottles/softbottle/softbottle.html,,,TRUE,,,
Stove with stash bag,Kitchen,1,84,,500 ml water - 6.5 min; 6 g fuel,https://www.blacks.co.uk/15893630/vango-compact-gas-stove-15893630,,TRUE,TRUE,,,
Gas can (100 g),Kitchen,1,99,£5.00,,https://jetboil.johnsonoutdoors.com/parts-accessories/fuel-related/jetpower-fuel-1-pack,,TRUE,TRUE,,,
Gas can (230 g),Kitchen,0,150,£10.00,,https://jetboil.johnsonoutdoors.com/parts-accessories/fuel-related/jetpower-fuel-1-pack,,,,,,
Firesteel,Kitchen,1,40,,,,,,TRUE,TRUE,,
