Chair,Weight,Seat Height,Back Height,Weight of poles only,Price
Helinox Speed Stool,414,28,28,,85
Helinox Zero,488,28,64,,125
Helinox Ground chair,622,22,49,,115
Helinox Zero high back,648,28,82,,160
Helinox One,850,35,66,,100
Helinox One L,1062,40,73,,110
Helinox One XL,1540,47,89,,150
Helinox Two (2022),1070,34,84,700,130
Helinox Sunset (Home),1483,45,98,1000,150
Helinox Cafe Chair,1291,38,85,,160
Helinox Savanna,1900,45,112,,200
Bach Morningbird,940,36,66,,
Bach Kiwi,1000,40,76,,
Bach Kingfisher,1333,42,102,,
Big Agnes Mica Basin,1018,38,,,
Big Agnes Skyline UL,758,38,,,
Big Agnes Big Six,1384,51,,,
Highlander Ayr,830,,,,
Highlander Ayr Rest,1300,,,,
