,Brand,Type,Weight,Cost,Insulation Rating,Weight-normalised insulation,Insulation/Weight,Normalised insulation/weight,price per,Normalised price,
Talini,Alpkit,Synthetic,390,100,800,699.551569506726,2.05,1.79,48.75,55.75,A
Heiko,Alpkit,Synthetic,344,120,800,617.040358744395,2.33,1.79,51.60,66.9,A
Cirrus Flex 2,Rab,Active,352,115,700,552.466367713005,1.99,1.57,57.83,73.2714285714286,C
Micro Puff,Patagonia,Synthetic,224,145,550,276.233183856502,2.46,1.23,59.05,117.581818181818,B
Xenair Light,Rab,Active,264,150,600,355.156950672646,2.27,1.35,66.00,111.5,
Nano Puff,Patagonia,Synthetic,340,160,800,609.865470852018,2.35,1.79,68.00,89.2,C
Thermal Airshed,Patagonia,Active,230,140,450,232.062780269058,1.96,1.01,71.56,138.755555555556,B
AlpLight,Patagonia,Down,239,250,800,428.699551569507,3.35,1.79,74.69,139.375,C
Down Sweater,Patagonia,Down,356,168,800,638.565022421525,2.25,1.79,74.76,93.66,C
Filoment,Alpkit,Synthetic,378,150,630,533.946188340807,1.67,1.41,90.00,106.190476190476,
Xenon 2.0,Rab,Synthetic,387,125,500,433.856502242153,1.29,1.12,96.75,111.5,
Xenair,Rab,Active,336,186,550,414.349775784753,1.64,1.23,113.63,150.829090909091,U
Xenair Alpine,Rab,Active,446,175,600,600,1.35,1.35,130.08,130.083333333333,
Nano Air,Patagonia,Active,312,198,450,314.798206278027,1.44,1.01,137.28,196.24,U
Microligt Down,Rab,Down,384,175,450,387.443946188341,1.17,1.01,149.33,173.444444444444,C
