Brand,Name,Buy?,Feature Score,Gas,Wood?,Charcoal?,Gasification?,Solid?,Alcohol?,Alcohol / ml,Wind Shield?,Weight / g (exc. Carry),Features / weight,Pot (min. / mm),Cost / GBP,Features / weight / cost,Boil time / min / 0.5l,Burn time / min,Link,Comments
Vango,Current Stove,FALSE,0,TRUE,,,,,,,,84,0.0238095238095238,,,,6.5,,https://www.blacks.co.uk/equipment/024842-vango-compct-gas-stove-assorted.html,
Vargo,Hexagon Wood Stove,FALSE,0,,TRUE,,,,,,TRUE,115,0.0173913043478261,76,69.95,0.000248624794107592,,,https://ultralightoutdoorgear.co.uk/titanium-converter-stove/,
Vargo,Converter Stove,FALSE,0,,,,,TRUE,TRUE,44,,38,0.0526315789473684,76,54.95,0.000957808534074039,8,12,https://ultralightoutdoorgear.co.uk/titanium-converter-stove/,Requires Hexagon Wood Stove
Vargo,Titanium Triad Multi-Fuel Stove,FALSE,0,,,,,TRUE,TRUE,44,,24,0.0833333333333333,76,44.95,0.00185391175380052,8,12,https://ultralightoutdoorgear.co.uk/titanium-triad-multi-fuel-stove/,
Vargo,Titanium Decagon Stove,FALSE,0,,,,,,TRUE,59,,38,0.0263157894736842,,41.95,0.000627313217489493,,20,https://ultralightoutdoorgear.co.uk/titanium-decagon-stove/,
Vargo,Titanium Fire Box,FALSE,0,,TRUE,TRUE,,,TRUE,59,,112,0.0267857142857143,,49.95,0.000536250536250536,,,https://ultralightoutdoorgear.co.uk/titanium-fire-box/,Requires BiFold Grill ~65GBP
Toaks,Titanium Siphon Alcohol Stove,FALSE,0,,,,,,TRUE,30,,18,0.0555555555555556,55,36.95,0.00150353330326267,5.5,11.5,https://ultralightoutdoorgear.co.uk/titanium-siphon-alcohol-stove/,
Toaks,Titanium Backpacking Wood Burning Stove – Small,FALSE,0,,TRUE,,TRUE,,,,TRUE,150,0.02,95,52.95,0.000377714825306893,,,https://ultralightoutdoorgear.co.uk/titanium-backpacking-wood-burning-stove-small/,Can buy cross bars for smaller pots
Toaks,Titanium Backpacking Wood Burning Stove – Original,TRUE,5,,TRUE,TRUE,TRUE,,,,TRUE,228,0.0175438596491228,105,62.95,0.000278695149310926,,,https://ultralightoutdoorgear.co.uk/titanium-backpacking-wood-burning-stove/,Can buy cross bars for smaller pots
MSR,Pocket Rocket 2,FALSE,0,TRUE,,,,,,,,73,0.0273972602739726,,46.95,0.00058354121989292,3.5,60,https://ultralightoutdoorgear.co.uk/pocket-rocket-2-stove/,
Evernew,EBY254 Titanium Alcohol Stove,FALSE,0,,,,,,TRUE,68,,84,0.0119047619047619,72,126.95,9.37752020855605E-05,,,,
Evernew,Ti DX Stand,FALSE,0,,TRUE,,,TRUE,,,TRUE,85,0.0352941176470588,72,127.95,0.00027584304530722,,,,
Evernew,EBY254 Titanium Alcohol Stove & DX Stand Kit,FALSE,0,,TRUE,,,TRUE,TRUE,70,TRUE,86,0.0348837209302326,72,128.95,0.000270521294534568,,,https://ultralightoutdoorgear.co.uk/eby255-titanium-alcohol-stove-dx-set-ti-dx-stand-stove/,Can buy cross bars for smaller pots
Bushbox,Ultralight Outdoor Pocket Stove,FALSE,0,,TRUE,TRUE,,TRUE,,,TRUE,61,0.0655737704918033,0,33.96,0.0019309119697233,,,https://www.bushcraft-essentials.com/en/outdoor-stoves/28/bushbox-ultralight-outdoor-pocket-stove?c=14,
Bushbox,Bushbox Ti,FALSE,0,,TRUE,TRUE,,TRUE,,,TRUE,160,0.025,50,46.34,0.000539490720759603,,,https://www.bushcraft-essentials.com/en/outdoor-stoves/18/bushbox-titanium-outdoor-pocket-stove?c=14,
Bushbox,Bushbox LF Ti,FALSE,0,,TRUE,TRUE,,TRUE,,,TRUE,280,0.0142857142857143,,111.35,0.000128295593046379,,,https://www.bushcraft-essentials.com/en/outdoor-stoves/38/bushbox-lf-titanium?c=14,
Trail Designs,Fissure Ti-Tri,FALSE,0,,TRUE,,TRUE,TRUE,TRUE,50,TRUE,137,0.0291970802919708,,145,0.000201359174427385,,,https://www.traildesigns.com/products/fissure-ti-tri,
AlpKit,Kraku,FALSE,0,TRUE,,,,,,,,45,0.0444444444444444,65,29.99,0.00148197547330592,,,https://alpkit.com/products/kraku,
AlpKit,Wood Stove,FALSE,0,,TRUE,,,,,,,380,0.00526315789473684,65,24.99,0.000210610560013479,,,https://alpkit.com/products/wood-stove-wood-burning-camping-stove,
backpackinglight,Honey Stove Ti,FALSE,0,,TRUE,TRUE,,TRUE,,,TRUE,161,0.0186335403726708,70,79.99,0.000232948373205036,,,,
DIY,,TRUE,3,,,,,TRUE,TRUE,50,,18,0.111111111111111,,14.99,0.00741234897338967,,,,
BRS,3000T,TRUE,2,TRUE,,,,,,,,26,0.0769230769230769,66,20,0.00384615384615385,,,,
,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,272,0.0220588235294118,,97.94,,,,,
,,,,,,,,,,,6,,,,,,,,,
,,,,1,1,1,1,1,1,50,1,,,,,,,,,
