,,comments,Fly D,Fly Hydro,Floor D,Floor Hydro,Weight/kg,Pack/l,Length/m,Width (head)/m,Width (foot)/m,Fits Anjo?,Area/m^2,Height/cm,area/weight,hydro/weight,cost/(area/weight),cost/(hydro/weight),Cost/GBP
Gelert,Solo,TOO SMALL FOR ANJO,,,,,1.80,5.20,250.00,,,,1.65,75.00,0.92,,£54.55,,£50.00
AlpKit,Soloist XL,Northern European,,,,,1.46,3.59,220.00,,,,1.69,95.00,1.16,,£112.35,,£130.00
Halti,Luola 2,Northern European,,,,,2.00,4.80,200.00,,,,2.50,90.00,1.25,,£116.00,,£145.00
Kelty,Late Start 1,,,,,,1.70,4.25,216.00,,,,1.90,92.70,1.12,,£134.21,,£150.00
Terra Nova,Coshee Micro,Northern European,,,,,1.40,3.17,215.00,,,,1.20,63.00,0.86,,£174.42,,£150.00
Ferrino,Sling 1,,,2000,,2500,1.25,2.41,220.00,80,60,FALSE,1.32,65.00,1.06,3600,£146.78,£0.04,£155.00
Halti,Noux Lite 2,Northern European,,2000,,5000,1.80,3.27,220,130,98,TRUE,2.52,105,1.40,3889,£115.00,£0.04,£161.00
Kelty,Late Start 2,,,,,,2.04,4.54,215.00,,,0.00,2.70,101.00,1.32,,£128.44,,£170.00
Nordisk,Svalbard 1 PU,Northern European,,,,,2.00,3.77,265.00,,,,1.19,100.00,0.60,,£318.66,,£190.00
Ferrino,Grit 1 FR,,,3000,,8000,1.30,2.86,230.00,75,75,FALSE,1.73,80.00,1.33,8462,£146.96,£0.02,£195.00
Terra Nova,Coshee 2,Northern European,,,,,2.10,3.96,218.00,,,,2.22,90.00,1.06,,£184.16,,£195.00
Ferrino,Lightent 1 Pro,,,3000,,8000,1.55,3.31,215.00,75,75,FALSE,1.61,80.00,1.04,7097,£192.25,£0.03,£200.00
Terra Nova,Zephyros Compact 1,Northern European,,,,,1.57,3.39,220.00,,,,1.41,92.00,0.90,,£223.01,,£200.00
Ferrino,Sling 2,,,2000,,25000,1.70,3.43,220.00,120,90,FALSE,2.64,100.00,1.55,15882,£135.23,£0.01,£210.00
Terra Nova,Helm Compact 1,Northern European,,,,,1.97,3.20,220.00,,,,1.76,92.00,0.89,,£235.06,,£210.00
AlpKit,Jaran 2,Northern European,,,,,2.29,3.96,220.00,,,,2.33,99.00,1.02,,£211.13,,£215.00
Ferrino,Nemesi 1 Pro,,,3000,,8000,1.50,3.31,210.00,70,50,FALSE,1.05,90.00,0.70,7333,£314.29,£0.03,£220.00
Ferrino,Grit 2,,,3000,,8000,1.95,3.95,210.00,135,135,TRUE,2.84,100.00,1.45,5641,£154.76,£0.04,£225.00
