Brand,Model,URL,Type,Hooded?,Self Stuff?,Recycled %,Weight,Cost,Fill Weight,CLO/g/m^2 (dry),CLO/g/m^2 (wet),CLO Full (dry),FP (equivalent)
Alpkit,Filoment Hoody,https://alpkit.com/products/filoment-hoody-mens?variant=39848523104361,Down,TRUE,FALSE,100,405,130,141,0.0309,,4.3569,630
Alpkit,Heiko,https://alpkit.com/products/heiko-mens?variant=39913967878249,Synthetic,FALSE,TRUE,100,344,100,,0.0201,0.0177,,519
Alpkit,Talini,https://alpkit.com/products/talini-mens?variant=39848606990441,Synthetic,FALSE,FALSE,,390,80,190,0.0277,,5.263,600
Alpkit,Katabatic,https://alpkit.com/products/katabatic-mens?variant=39891085754473,Synthetic,TRUE,TRUE,45,455,160,,0.0271,0.0265,,594
Alpkit,Solace,https://alpkit.com/products/solace-mens?variant=40719171780713,Synthetic,TRUE,FALSE,70,680,190,,0.0201,0.0177,,519
Alpkit,0Hiro,https://alpkit.com/products/0hiro-mens-primaloft-jacket?variant=39913171189865,Synthetic,TRUE,,70,690,140,,0.0274,0.02329,,597
Fjallraven,Expedition Pack Down Hoodie,https://www.fjallraven.com/uk/en-gb/men/jackets/winter-jackets/expedition-pack-down-hoodie-m,Down,TRUE,TRUE,,490,315,110,0.0391,,4.301,700
Fjallraven,Expedition Pack Down,https://www.fjallraven.com/uk/en-gb/men/jackets/winter-jackets/expedition-pack-down-jacket-m,Down,FALSE,TRUE,,415,295,100,0.0391,,3.91,700
Fjallraven,Keb Padded Hoodie,https://www.fjallraven.com/uk/en-gb/men/jackets/trekking-jackets/keb-padded-hoodie-m,Synthetic,TRUE,FALSE,100,510,260,,0.0391,0.03128,,700
Jottnar,Fenrir,https://www.jottnar.com/collections/mens-down-insulated-jackets/products/fenrir-mens-hooded-down-jacket,Down,TRUE,,,390,335,112,0.0603,,6.7536,850
Jottnar,Thorsen,https://www.jottnar.com/collections/mens-down-insulated-jackets/products/thorsen-mens-lightweight-down-jacket,Down,FALSE,,,378,289,,0.0603,,,850
Jottnar,Thorne,https://www.jottnar.com/collections/mens-down-insulated-jackets/products/thorne-mens-hooded-down-jacket,Down,TRUE,,,460,299,,0.0456,,,750
Kathmandu,Heli Thermore,https://www.kathmandu.co.uk/mens/jackets-and-vests/mens-down-insulated-jackets/heli-s-mns-jacket.html?colour=6558&scroll=instant,Synthetic,FALSE,TRUE,100,440,115,202,0.0507,,10.2414,787
Keela,Talus,https://keelaoutdoors.com/product/talus-jacket/,Synthetic,TRUE,FALSE,,600,145,,0.0271,0.0265,,594
Keela,Belay Pro,https://keelaoutdoors.com/product/belay-pro-jacket/,Synthetic,TRUE,FALSE,,638,120,,0.0271,0.0265,,594
Keela,Solo,https://keelaoutdoors.com/product/solo-jacket/,Synthetic,TRUE,FALSE,,680,165,,0.0271,0.0265,,594
Mammut,Meron IN Hooded,https://www.mammut.com/uk/en/products/1013-02660-3734/meron-in-hooded-jacket-men,Down,TRUE,TRUE,,414,298,155,0.0684,,10.602,900
Mammut,Whitehorn IN Hooded,https://www.mammut.com/uk/en/products/1013-02100-40155/whitehorn-in-jacket-men,Down,TRUE,,,735,154,225,0.0456,,10.26,750
Mammut,Albula IN Hooded,https://www.mammut.com/uk/en/products/1013-01781-50550/albula-in-hooded-jacket-men,Synthetic,TRUE,,,476,133,178,0.0507,,9.0246,787
Mammut,Albula IN,https://www.mammut.com/uk/en/products/1013-01801-50550/albula-in-jacket-men,Synthetic,FALSE,FALSE,,440,119,160,0.0507,,8.112,787
Mammut,Albula IN Hybrid,https://www.mammut.com/uk/en/products/1013-02001-40155/albula-in-hybrid-jacket-men,Synthetic,FALSE,,,398,126,122,0.0507,,6.1854,787
Mammut,Taiss IN Hooded,https://www.mammut.com/uk/en/products/1013-02700-50554/taiss-in-hooded-jacket-men,Down,TRUE,TRUE,,293,238,90,0.0684,,6.156,900
Mammut,Broad Peak IN Hooded,https://ultralightoutdoorgear.co.uk/broad-peak-in-hooded-jacket/,Down,TRUE,TRUE,,395,270,115,0.0527,,6.0605,800
Mammut,Rime IN Flex Hooded,https://www.mammut.com/uk/en/products/1013-02130-40236/rime-in-flex-hooded-jacket-men,Synthetic,TRUE,,,466,165,140,0.0249,,3.486,572
Mammut,Eigerjoch Light IN Hooded,https://www.mammut.com/uk/en/products/1013-02350-2217/eigerjoch-light-in-hooded-jacket-men,Synthetic,TRUE,TRUE,,300,275,,0.0271,0.0265,,594
Mammut,Rime Light IN Flex Hooded,,Synthetic,TRUE,TRUE,,380,140,,0.0249,,,572
Mammut,Nespresso In Flex Hooded,https://www.mammut.com/uk/en/products/1013-03490-00788/mammut-x-nespresso-in-flex-hooded-jacket-men,Synthetic,TRUE,,,498,300,,0.0249,,,572
Patagonia,AlpLoft Down,https://eu.patagonia.com/gb/en/product/alploft-down-parka/85600.html?dwvar_85600_color=CLOO&cgid=mens-jackets-vests-insulated,Down,TRUE,,,680,392,295,0.0527,,15.5465,800
Patagonia,Down Fitz Roy Hoody,https://eu.patagonia.com/gb/en/product/mens-fitz-roy-down-hoody/85500.html?dwvar_85500_color=OBPL&cgid=mens-jackets-vests-insulated,Down,TRUE,TRUE,,485,280,159,0.0527,,8.3793,800
Patagonia,Down Sweater Hoody,https://ultralightoutdoorgear.co.uk/down-sweater-hoody/,Down,TRUE,TRUE,,420,240,150,0.0527,,7.905,800
