,Brand,Material,Layers,Weight,Cost,Hydrostatic Head/mm,Breathability/g/m2/24h,HH * B,HH*B / Weight,Price per ratio
LIM GTX Jacket 2022,Haglofs,Paclite Plus,2.5,274,187,28000,15000,420,1.53,122.00
Storm10,Patagonia,H2No,3,256,246,10000,15000,150,0.59,419.84
Torrentshell 3L,Patagonia,H2No,3,412,135,20000,15000,300,0.73,185.40
LIM Breathe GTX,Haglofs,Shakedry,2,188,272,28000,25000,700,3.72,73.05
Alpha SL,Arc'teryx,Goretex,3,210,350,28000,15000,420,2.00,175.00
Beta SV,Arc'teryx,Goretex Pro,3,495,600,28000,25000,700,1.41,424.29
Beta LT,Arc'teryx,Goretex,3,395,350,28000,15000,420,1.06,329.17
Beta Long,Arc'teryx,Goretex,3,441,440,28000,15000,420,0.95,462.00
Kinetic Ultra,Rab,Proflex,3,254,165,10000,35000,350,1.38,119.74
Kinetic 2.0,Rab,Proflex,3,346,165,10000,35000,350,1.01,163.11
LIM Gore-tex,Haglofs,Paclite Plus,3,216,176,28000,15000,420,1.94,90.51
Pacer Gore-tex,Rab,Goretex Active,,248,161,28000,25000,700,2.82,57.04
LIM GTX Active,Haglofs,Goretex Active,3,300,246,28000,25000,700,2.33,105.43
Zenith Goretex,Rab,Paclite Plus,3,336,225,28000,15000,420,1.25,180.00
Meridian Goretex,Rab,Paclite Plus,3,368,205,28000,15000,420,1.14,179.62
Downpour Plus 2.0,Rab,Pertex Shield,2.5,382,130,20000,20000,400,1.05,124.15
