Brand,Model,URL,Quick Lid?,Recycled %,Hours Hot,Hours Cold,Volume / l,Weight / g,Vol : Weight ratio,Cost / GBP,
Thermos,Ultralight,https://thermos.eu/en/product-series/insulated-drinking-bottle/ultralight-strap-bottle-insulated-drinking-bottle-34-oz-1-00-l,Yes,,10,20,1,450,2.22,,#DIV/0!
Thermos,Ultimate,https://thermos.co.uk/products/ultimate-flask?variant=50527055413529,No,,24,24,0.9,390,2.31,35,66
Hydroflask,Lightweight Wide Mouth Flex Cap Trail Series,https://ultralightoutdoorgear.co.uk/24-oz-lightweight-wide-mouth-trail-series/,Can buy,,12,24,0.7,292,2.40,36,67
Hydroflask,Lightweight Wide Mouth Flex Cap Trail Series,https://ultralightoutdoorgear.co.uk/32-oz-lightweight-wide-mouth-trail-series/,Can buy,,12,24,0.95,354,2.68,41,65
Hydroflask,Lightweight Wide Mouth Flex Cap Trail Series,https://ultralightoutdoorgear.co.uk/40oz-lightweight-wide-mouth-trail-series1/,Can buy,,12,24,1.183,420,2.82,45,63
Yeti,Rambler,https://uk.yeti.com/collections/bottles/products/rambler-36-bottle-with-chug-cap-ultramarine-violet?_pos=25&_fid=b319cfee7&_ss=c,Can buy,,,,1,700,1.43,50,29
Soto,Aero Bottle,https://ultralightoutdoorgear.co.uk/aero-bottle-300/,No,,12,12,0.3,143,2.10,88,24
Ocean Bottle,3 in 1,https://oceanbottle.co/products/the-3-in-1-ocean-bottle-sand-stone,Yes,65,6,18,0.5,259,1.93,48,40
Ocean Bottle,Original,https://oceanbottle.co/products/big-ocean-bottle-sun-orange,Can buy,90,9,18,1,443,2.26,45,50
Chilly’s,Series 2,https://www.chillys.com/products/cobrand-bottle-series-2-pine?variant=52188448522563,Can buy,Possibly?,12,24,1,485,2.06,42,49
Kinto,Trail Tumbler,https://www.redber.co.uk/products/kinto-trail-tumbler-1080ml-ash-green,No,,6,6,1.08,500,2.16,56,39
Snow peak,Kanpai,https://ultralightoutdoorgear.co.uk/kanpai-bottle-500ml/,Yes,,6,6,0.5,318,1.57,95,17
Snow peak,Tsuzumi,https://uk.snowpeak.com/products/tw-350bk?variant=32023165403170,No,,6,6,0.35,215,1.63,42,39
Snow peak,Milk,https://uk.snowpeak.com/products/tw-501cl?variant=31372541493282,No,,6,6,0.5,286,1.75,84,21
Klean Kanteen,TKPro,https://www.kleankanteen.co.uk/products/insulated-tkpro-32oz-1000ml,No,,38,100,1,736,1.36,48,28
,,,,,,,,,#DIV/0!,,#DIV/0!
,,,,,,,,,#DIV/0!,,#DIV/0!
