Brand,Option,Format,Weight/g,Calories/kcal,Protein/g,Fibre/g,kcal/g,g_pr/g,g_f/g
Deliciously Ella,Cacao & Almond,Ball,40,162,4,4,4.06,0.10,0.10
Prodigy,Peanut & Caramel Cahoots,Bar,45,205,3,8,4.56,0.06,0.17
Prodigy,Coconut Cahoots,Bar,45,211,1,8,4.69,0.03,0.18
Grenade Carb Killa,Peanut Nutter,Bar,60,224,21,7,3.73,0.35,0.12
Grenade Carb Killa,Cookie Dough,Bar,60,218,20,7,3.63,0.34,0.11
PE Nutrition,The Bar Chocolate Orange,Bar,60,193,21,4,3.22,0.35,0.07
PE Nutrition,Salted Caramel,Bar,60,193,21,4,3.22,0.35,0.07
PE Nutrition,Cookies and Cream,Bar,60,193,21,4,3.22,0.35,0.07
Optimum Nutrition,Choc Peanut Butter,Bar,65,215,20,13,3.31,0.31,0.20
Optimum Nutrition,Choc Brownie,Bar,65,215,20,13,3.31,0.31,0.20
Optimum Nutrition,Marshmallow,Bar,65,215,20,13,3.31,0.31,0.20
Pulsin,Choc Fudge & Peanut Keto,Bar,50,247,13,9,4.94,0.25,0.19
Pulsin,Mint Choc & Peanut Keto,Bar,50,247,13,9,4.94,0.25,0.19
Pulsin,Orange Choc & Peanut Keto,Bar,50,247,13,9,4.94,0.25,0.19
Pulsin,Choc Fudge,Bar,57,227,15,14,3.98,0.26,0.24
Pulsin,Cookie Dough,Bar,57,227,15,14,3.98,0.26,0.24
Pulsin,Peanut Choc,Bar,50,234,12,5,4.68,0.25,0.11
Pulsin,Caramel Choc & Peanut,Bar,50,240,13,5,4.80,0.26,0.10
Pulsin,Vanilla Choc & Almond,Bar,50,238,13,5,4.76,0.27,0.10
Pulsin,Maple & Peanut,Bar,50,240,14,5,4.80,0.28,0.09
Kind,Peanut Butter Protein,Bar,50,252,12,5,5.04,0.24,0.10
PhD,Triple Choc Cookie Diet Whey,Bar,65,199,20,9,3.06,0.31,0.14
PhD,Peanut Butter,Bar,65,199,20,9,3.06,0.31,0.14
Bounce,Caramel Millionaire,Ball,40,169,9,4,4.22,0.22,0.09
Bounce,Hazelnut Praline,Ball,40,169,9,4,4.22,0.22,0.09
Bounce,Chocolate Brownie,Ball,40,169,9,4,4.22,0.22,0.09
Bounce,Peanut Butter,Ball,35,159,10,2,4.53,0.28,0.06
Bounce,Almond Butter,Ball,35,159,8,2,4.53,0.24,0.07
Bounce,Maple Pecan Cashew Butter,Ball,35,157,8,2,4.49,0.23,0.06
Bounce,Coconut Macadamia,Ball,35,154,8,4,4.40,0.22,0.11
Bounce,Salted Caramel,Ball,35,158,9,2,4.51,0.26,0.06
Trek,Peanut Power Energy,Bar,55,203,10,3,3.69,0.19,0.05
Trek,Cocoa Oat Flapjack,Bar,50,227,9,2,4.54,0.18,0.04
Trek,Cocoa Coconut Flapjack,Bar,50,236,9,2,4.72,0.18,0.05
Trek,Smooth Lemon Flapjack,Bar,50,234,9,1,4.67,0.18,0.03
Eat Natural,Salted Caramel Peanut,Bar,45,223,12,2,4.96,0.26,0.05
Barebells,Hazelnut and Nougat,Bar,55,224,15,4,4.07,0.27,0.08
Protein Ball Co,Lemon and Pistachio,Ball,45,174,7,5,3.87,0.16,0.12
Lexi’s,Double Choc Chip Crispy Protein,Bar,40,155,10,7,3.88,0.25,0.18
Tribe,Choc Peanut Triple Decker Nut Butter,Bar,40,196,8,4,4.90,0.21,0.10
Trek,Cocoa Chaos Protein Energy,Bar,55,186,10,4,3.38,0.18,0.07
ADONis,Peanut Butter & Choc Keto,Bar,45,178,10,9,3.96,0.23,0.19
Protein Grazers,Salted Caramel Crunch,Biscuits,50,199,11,1,3.98,0.22,0.01
Ridiculous,Chocolate Caramelicious,Bar,47.5,197,15,8,4.15,0.32,0.16
Loaded Legend,Banana Choc Chippers,Bar,50,189,15,7,3.78,0.30,0.14
Protein Cookie,Rocky Choc Mash Up,Biscuits,60,222,18,8,3.70,0.30,0.14
,,Average,50,204,12.15,4.9,4.18368421052632,0.252,0.101
